Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,Start,Injury
PG/SG,Chris Paul,7500,DEN@HOU 11/22/2017 08:00PM ET,36,HOU,1,
C,Clint Capela,6800,DEN@HOU 11/22/2017 08:00PM ET,34.985,HOU,1,
SG,Eric Gordon,5700,DEN@HOU 11/22/2017 08:00PM ET,30.516,HOU,,
SG/SF,Trevor Ariza,5200,DEN@HOU 11/22/2017 08:00PM ET,24.583,HOU,1,
PF/C,Ryan Anderson,4700,DEN@HOU 11/22/2017 08:00PM ET,22.838,HOU,1,1
SF/PF,P.J. Tucker,3800,DEN@HOU 11/22/2017 08:00PM ET,19.088,HOU,,
SF/PF,Luc Richard Mbah a Moute,3500,DEN@HOU 11/22/2017 08:00PM ET,17.433,HOU,,
PF/C,Tarik Black,3500,DEN@HOU 11/22/2017 08:00PM ET,10.438,HOU,,
C,Nene Hilario,3300,DEN@HOU 11/22/2017 08:00PM ET,14.125,HOU,,
PG,Bobby Brown,3100,DEN@HOU 11/22/2017 08:00PM ET,5.438,HOU,,
PF/C,Zhou Qi,3000,DEN@HOU 11/22/2017 08:00PM ET,3.025,HOU,,
PF/C,Chinanu Onuaku,3000,DEN@HOU 11/22/2017 08:00PM ET,0,HOU,,
PG,Briante Weber,3000,DEN@HOU 11/22/2017 08:00PM ET,0,HOU,,
PG,Demetrius Jackson,3000,DEN@HOU 11/22/2017 08:00PM ET,3.114,HOU,,
SG,Troy Williams,3000,DEN@HOU 11/22/2017 08:00PM ET,3.875,HOU,,
PF/C,Blake Griffin,9300,LAC@ATL 11/22/2017 07:30PM ET,42.203,LAC,1,
PG/SG,Lou Williams,7100,LAC@ATL 11/22/2017 07:30PM ET,27.609,LAC,,
C,DeAndre Jordan,7000,LAC@ATL 11/22/2017 07:30PM ET,31.953,LAC,1,
PG/SG,Patrick Beverley,5700,LAC@ATL 11/22/2017 07:30PM ET,25.977,LAC,,2
SF,Danilo Gallinari,5700,LAC@ATL 11/22/2017 07:30PM ET,24.806,LAC,,2
PG/SG,Austin Rivers,5100,LAC@ATL 11/22/2017 07:30PM ET,22.578,LAC,1,
PG/SG,Milos Teodosic,4000,LAC@ATL 11/22/2017 07:30PM ET,13.125,LAC,,2
SF/PF,Wesley Johnson,3800,LAC@ATL 11/22/2017 07:30PM ET,17.469,LAC,1,
PF/C,Montrezl Harrell,3200,LAC@ATL 11/22/2017 07:30PM ET,9.477,LAC,,
SG,Sindarius Thornwell,3200,LAC@ATL 11/22/2017 07:30PM ET,9.328,LAC,1,
C,Willie Reed,3000,LAC@ATL 11/22/2017 07:30PM ET,12.517,LAC,,
SF/PF,Sam Dekker,3000,LAC@ATL 11/22/2017 07:30PM ET,6.096,LAC,,
SF/PF,Jamil Wilson,3000,LAC@ATL 11/22/2017 07:30PM ET,1.25,LAC,,
PF/C,Brice Johnson,3000,LAC@ATL 11/22/2017 07:30PM ET,6.125,LAC,,
PG,Jawun Evans,3000,LAC@ATL 11/22/2017 07:30PM ET,8.139,LAC,,
SG,C.J. Williams,3000,LAC@ATL 11/22/2017 07:30PM ET,3.5,LAC,,
PG,Lonzo Ball,7300,LAL@SAC 11/22/2017 10:30PM ET,33.167,LAL,1,
SF/PF,Kyle Kuzma,6700,LAL@SAC 11/22/2017 10:30PM ET,28.611,LAL,1,
SG/SF,Brandon Ingram,6200,LAL@SAC 11/22/2017 10:30PM ET,28.597,LAL,1,
C,Brook Lopez,5700,LAL@SAC 11/22/2017 10:30PM ET,28.569,LAL,1,
SF/PF,Larry Nance Jr.,5500,LAL@SAC 11/22/2017 10:30PM ET,25.25,LAL,,2
SG,Kentavious Caldwell-Pope,5300,LAL@SAC 11/22/2017 10:30PM ET,27.359,LAL,1,
PF/C,Julius Randle,5200,LAL@SAC 11/22/2017 10:30PM ET,24.861,LAL,,
PG/SG,Jordan Clarkson,5100,LAL@SAC 11/22/2017 10:30PM ET,23.292,LAL,,
C,Ivica Zubac,3400,LAL@SAC 11/22/2017 10:30PM ET,2,LAL,,
C,Andrew Bogut,3000,LAL@SAC 11/22/2017 10:30PM ET,8.25,LAL,,
SF/PF,Luol Deng,3000,LAL@SAC 11/22/2017 10:30PM ET,5,LAL,,
PF/C,Thomas Bryant,3000,LAL@SAC 11/22/2017 10:30PM ET,0,LAL,,
PG/SG,Tyler Ennis,3000,LAL@SAC 11/22/2017 10:30PM ET,5.25,LAL,,
PG/SG,Alex Caruso,3000,LAL@SAC 11/22/2017 10:30PM ET,4.75,LAL,,
PG/SG,Josh Hart,3000,LAL@SAC 11/22/2017 10:30PM ET,7.346,LAL,,
PG/SG,Vander Blue,3000,LAL@SAC 11/22/2017 10:30PM ET,0.938,LAL,,
SG/SF,Corey Brewer,3000,LAL@SAC 11/22/2017 10:30PM ET,7.667,LAL,,
C,Marc Gasol,8300,DAL@MEM 11/22/2017 08:00PM ET,41.734,MEM,1,
SG/SF,Tyreke Evans,7200,DAL@MEM 11/22/2017 08:00PM ET,31.844,MEM,,
PG,Mike Conley,6300,DAL@MEM 11/22/2017 08:00PM ET,28.771,MEM,,2
PG,Mario Chalmers,5000,DAL@MEM 11/22/2017 08:00PM ET,20.75,MEM,1,
SF/PF,JaMychal Green,4500,DAL@MEM 11/22/2017 08:00PM ET,15.688,MEM,1,
SG/SF,Dillon Brooks,4300,DAL@MEM 11/22/2017 08:00PM ET,18.953,MEM,1,
SF/PF,Chandler Parsons,3900,DAL@MEM 11/22/2017 08:00PM ET,16.643,MEM,1,
SG/SF,James Ennis III,3600,DAL@MEM 11/22/2017 08:00PM ET,16.297,MEM,,
SG/SF,Ben McLemore,3500,DAL@MEM 11/22/2017 08:00PM ET,9.4,MEM,,
PF/C,Jarell Martin,3400,DAL@MEM 11/22/2017 08:00PM ET,12.7,MEM,,
PF/C,Brandan Wright,3400,DAL@MEM 11/22/2017 08:00PM ET,13.983,MEM,,2
PG/SG,Andrew Harrison,3400,DAL@MEM 11/22/2017 08:00PM ET,8.875,MEM,,
PF/C,Ivan Rabb,3000,DAL@MEM 11/22/2017 08:00PM ET,0,MEM,,2
PF/C,Deyonta Davis,3000,DAL@MEM 11/22/2017 08:00PM ET,6.625,MEM,,
PG/SG,Wayne Selden Jr.,3000,DAL@MEM 11/22/2017 08:00PM ET,8.25,MEM,,2
PF,Vince Hunter,3000,DAL@MEM 11/22/2017 08:00PM ET,0,MEM,,2
SG,Kobi Simmons,3000,DAL@MEM 11/22/2017 08:00PM ET,0,MEM,,2
C,Hassan Whiteside,8600,BOS@MIA 11/22/2017 07:30PM ET,39.591,MIA,1,
PG,Goran Dragic,6400,BOS@MIA 11/22/2017 07:30PM ET,32.25,MIA,1,
PF,James Johnson,5600,BOS@MIA 11/22/2017 07:30PM ET,28.317,MIA,,
SG/SF,Dion Waiters,5500,BOS@MIA 11/22/2017 07:30PM ET,25.786,MIA,1,
SG/SF,Josh Richardson,4500,BOS@MIA 11/22/2017 07:30PM ET,20.625,MIA,1,1
SF/PF,Justise Winslow,4200,BOS@MIA 11/22/2017 07:30PM ET,18.25,MIA,1,
PF/C,Kelly Olynyk,4100,BOS@MIA 11/22/2017 07:30PM ET,19.563,MIA,,
PG/SG,Tyler Johnson,4100,BOS@MIA 11/22/2017 07:30PM ET,19.483,MIA,,
PF/C,Bam Adebayo,3600,BOS@MIA 11/22/2017 07:30PM ET,9.5,MIA,,
SG/SF,Wayne Ellington,3300,BOS@MIA 11/22/2017 07:30PM ET,12.438,MIA,,
C,A.J. Hammons,3000,BOS@MIA 11/22/2017 07:30PM ET,0,MIA,,2
SF/PF,Okaro White,3000,BOS@MIA 11/22/2017 07:30PM ET,8.45,MIA,,2
PF/C,Jordan Mickey,3000,BOS@MIA 11/22/2017 07:30PM ET,11.083,MIA,,
PF/C,Udonis Haslem,3000,BOS@MIA 11/22/2017 07:30PM ET,2,MIA,,
SG/SF,Rodney McGruder,3000,BOS@MIA 11/22/2017 07:30PM ET,0,MIA,,2
PG,Derrick Walton Jr.,3000,BOS@MIA 11/22/2017 07:30PM ET,0.813,MIA,,
SG,Matt Williams,3000,BOS@MIA 11/22/2017 07:30PM ET,0,MIA,,2
SF/PF,Giannis Antetokounmpo,11500,MIL@PHO 11/22/2017 09:00PM ET,55.391,MIL,,2
SG/SF,Khris Middleton,6900,MIL@PHO 11/22/2017 09:00PM ET,34.703,MIL,1,
PG/SG,Eric Bledsoe,6500,MIL@PHO 11/22/2017 09:00PM ET,28.306,MIL,1,
SF/PF,Jabari Parker,5100,MIL@PHO 11/22/2017 09:00PM ET,0,MIL,,2
PG/SG,Malcolm Brogdon,4900,MIL@PHO 11/22/2017 09:00PM ET,24.55,MIL,,
C,John Henson,4700,MIL@PHO 11/22/2017 09:00PM ET,20.781,MIL,,2
SG/SF,Tony Snell,3800,MIL@PHO 11/22/2017 09:00PM ET,17.766,MIL,1,
PF/C,Thon Maker,3300,MIL@PHO 11/22/2017 09:00PM ET,12.375,MIL,1,
SF/PF,Mirza Teletovic,3200,MIL@PHO 11/22/2017 09:00PM ET,13.175,MIL,,2
PG/SG,Matthew Dellavedova,3200,MIL@PHO 11/22/2017 09:00PM ET,12.962,MIL,,1
PF/C,D.J. Wilson,3000,MIL@PHO 11/22/2017 09:00PM ET,1.55,MIL,1,
PG/SG,Jason Terry,3000,MIL@PHO 11/22/2017 09:00PM ET,3.55,MIL,,
PF,Joel Bolomboy,3000,MIL@PHO 11/22/2017 09:00PM ET,1.375,MIL,,
SG,Gary Payton II,3000,MIL@PHO 11/22/2017 09:00PM ET,4,MIL,,
SG,Sterling Brown,3000,MIL@PHO 11/22/2017 09:00PM ET,4.167,MIL,,
PG/SF,DeAndre Liggins,3000,MIL@PHO 11/22/2017 09:00PM ET,6.673,MIL,,
PG/SF,Rashad Vaughn,3000,MIL@PHO 11/22/2017 09:00PM ET,6.792,MIL,,
C,Karl-Anthony Towns,9200,ORL@MIN 11/22/2017 08:00PM ET,42.088,MIN,1,
SG,Jimmy Butler,7400,ORL@MIN 11/22/2017 08:00PM ET,33.8,MIN,1,
PG,Jeff Teague,6600,ORL@MIN 11/22/2017 08:00PM ET,32.191,MIN,1,
SF/PF,Andrew Wiggins,6500,ORL@MIN 11/22/2017 08:00PM ET,29.662,MIN,1,
PF/C,Taj Gibson,5300,ORL@MIN 11/22/2017 08:00PM ET,24.235,MIN,1,
PF/C,Gorgui Dieng,3700,ORL@MIN 11/22/2017 08:00PM ET,14.286,MIN,,
SG,Jamal Crawford,3600,ORL@MIN 11/22/2017 08:00PM ET,15.544,MIN,,
SG/SF,Shabazz Muhammad,3500,ORL@MIN 11/22/2017 08:00PM ET,7.691,MIN,,
SF/PF,Nemanja Bjelica,3400,ORL@MIN 11/22/2017 08:00PM ET,14.191,MIN,,
C,Justin Patton,3000,ORL@MIN 11/22/2017 08:00PM ET,0,MIN,,2
C,Cole Aldrich,3000,ORL@MIN 11/22/2017 08:00PM ET,1.15,MIN,,
PG/SG,Aaron Brooks,3000,ORL@MIN 11/22/2017 08:00PM ET,2.844,MIN,,
PG/SG,Tyus Jones,3000,ORL@MIN 11/22/2017 08:00PM ET,8.868,MIN,,
SG/SF,Marcus Georges-Hunt,3000,ORL@MIN 11/22/2017 08:00PM ET,1.031,MIN,,2
SG/SF,Anthony Brown,3000,ORL@MIN 11/22/2017 08:00PM ET,0,MIN,,2
PF/C,DeMarcus Cousins,10300,SA@NO 11/22/2017 08:00PM ET,57.5,NO,1,
PF/C,Anthony Davis,9600,SA@NO 11/22/2017 08:00PM ET,51.25,NO,1,
PG/SG,Jrue Holiday,6100,SA@NO 11/22/2017 08:00PM ET,31.824,NO,1,
PG,Rajon Rondo,4800,SA@NO 11/22/2017 08:00PM ET,17.438,NO,1,
SG/SF,E'Twaun Moore,3800,SA@NO 11/22/2017 08:00PM ET,21.382,NO,1,
PG/SG,Jameer Nelson,3700,SA@NO 11/22/2017 08:00PM ET,19.033,NO,,
SF/PF,Dante Cunningham,3500,SA@NO 11/22/2017 08:00PM ET,12.529,NO,,
PG/SG,Ian Clark,3400,SA@NO 11/22/2017 08:00PM ET,11.536,NO,,
PF,Cheick Diallo,3300,SA@NO 11/22/2017 08:00PM ET,6.636,NO,,
SF,Darius Miller,3300,SA@NO 11/22/2017 08:00PM ET,10.235,NO,,
C,Omer Asik,3000,SA@NO 11/22/2017 08:00PM ET,0,NO,,1
C,Alexis Ajinca,3000,SA@NO 11/22/2017 08:00PM ET,0,NO,,2
SF/PF,Solomon Hill,3000,SA@NO 11/22/2017 08:00PM ET,0,NO,,2
SG/SF,Tony Allen,3000,SA@NO 11/22/2017 08:00PM ET,10,NO,,
