Player,League Value,Proj Value,Avg Cost,FGM,FG%,FTM,3PTM,PTS,REB,AST,ST,BLK,FGM Percentile,FG% Percentile,FTM Percentile,3PTM Percentile,PTS Percentile,REB Percentile,AST Percentile,STL Percentile,BLK Percentile,FGM Z-Score,FG% Z-Score,FTM Z-Score,3PTM Z-Score,PTS Z-Score,REB Z-Score,AST Z-Score,STL Z-Score,BLK Z-Score,Mean Percentile,Mean Percentile/Avg Cost,Mean Z-Score,Mean Z-Score/Avg Cost,Fitted Avg Cost,Avg Cost Residaual
Tobias Harris Det - F,12,12,8.7,511,0.481,190,109,1321,416,142,59,39,0.891986063,0.700348432,0.797909408,0.74912892,0.881533101,0.763066202,0.592334495,0.602787456,0.693379791,1.332244286,0.249978336,0.437713959,0.611834942,1.122592992,0.479780094,-0.176493036,0.068714979,0.096521926,0.741385985,34.2707019,0.469209831,21.6893097,11.03221038,-2.332210377
Robert Covington Phi - F,12,12,8.6,292,0.399,143,137,864,436,102,127,69,0.581881533,0.118466899,0.682926829,0.867595819,0.658536585,0.770034843,0.428571429,0.965156794,0.867595819,-0.026525553,-1.028376763,0.044773483,1.073107632,0.13399933,0.583702272,-0.447802631,2.322566296,1.023003287,0.660085172,30.67649256,0.408716373,18.99449539,9.142773597,-0.542773597
Elfrid Payton Orl - G,12,12,7.5,430,0.471,146,40,1046,387,529,88,40,0.839721254,0.641114983,0.696864111,0.348432056,0.770034843,0.717770035,0.968641115,0.860627178,0.721254355,0.829685579,0.094081373,0.06985479,-0.524872757,0.527706215,0.329092934,2.448427295,1.029916276,0.127404638,0.729384437,36.19948103,0.547921816,27.19345846,13.77273344,-6.272733444
D'Angelo Russell Bkn - G,12,12,11.1,351,0.405,147,135,984,221,303,87,16,0.68989547,0.153310105,0.710801394,0.857142857,0.724738676,0.331010453,0.864111498,0.853658537,0.296167247,0.339535728,-0.934838585,0.078215226,1.040159582,0.393586287,-0.533461149,0.915528084,0.996771404,-0.613780451,0.608981804,25.30102585,0.186857347,7.763257525,4.111471805,6.988528195
Harrison Barnes Dal - F,11,11,9.9,599,0.468,242,78,1518,394,117,65,15,0.923344948,0.6271777,0.860627178,0.595818815,0.909407666,0.731707317,0.487804878,0.662020906,0.275261324,1.878233993,0.047312284,0.872456613,0.101140179,1.548748247,0.365465697,-0.346061533,0.267584213,-0.644663163,0.674796748,29.43452638,0.454468503,19.82384354,10.55338769,-0.653387694
"Trevor Ariza Hou - G,F",11,11,8.8,326,0.409,93,191,936,458,175,147,20,0.655052265,0.170731707,0.459930314,0.954703833,0.696864111,0.794425087,0.662020906,0.993031359,0.383275261,0.184425016,-0.8724798,-0.3732483,1.962704961,0.289751504,0.698016669,0.04733738,2.985463743,-0.490249603,0.641114983,29.47991609,0.492413508,22.64228614,11.80875655,-3.008756549
"Andrew Wiggins Min - G,F",10,10,15.3,709,0.452,412,103,1933,328,189,82,30,0.982578397,0.484320557,0.961672474,0.707317073,0.965156794,0.634146341,0.714285714,0.81533101,0.567944251,2.560721127,-0.202122857,2.293730675,0.512990795,2.446486475,0.022522507,0.142295738,0.831047042,-0.181422483,0.759194735,27.83122047,0.936249891,34.32186228,30.0702253,-14.7702253
"Nicolas Batum Cha - G,F",10,10,15.9,393,0.403,243,135,1164,481,456,86,29,0.770034843,0.142857143,0.864111498,0.857142857,0.832752613,0.829268293,0.951219512,0.846689895,0.547038328,0.600121724,-0.966017978,0.880817049,1.040159582,0.782966723,0.817527174,1.953287284,0.963626532,-0.212305195,0.737901665,26.67449544,0.651131433,23.53782797,17.76593913,-1.865939133
"Clint Capela Hou - F,C",10,10,8.8,362,0.643,94,0,818,526,63,34,79,0.707317073,0.979094077,0.466898955,0.12195122,0.613240418,0.885017422,0.212543554,0.229965157,0.902439024,0.407784441,2.775509143,-0.364887864,-1.183833741,0.034490996,1.051352077,-0.712329486,-0.759906829,1.331830407,0.568718544,26.15096421,0.286667683,13.18162804,5.986757811,2.813242189
Lonzo Ball LAL - G,10,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
