GID,"Last, First",First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,DD Sal,DD Change,YH Sal,YH Change,FD pos,DK pos,DD pos,YH pos,Column1
3740,"Calderon, Jose",Jose Calderon,20171017,cle,bos,H,20171017-bos-cle,20,102,99,0,0,0,1,0,0,0,0,,0,0,3000,,3500,,,,10,,1,1,,1,
4823,"Rozier, Terry",Terry Rozier,20171017,bos,cle,A,20171017-bos-cle,20,99,102,0,19.53333333,1,1,27.6,24.25,23.75,27.6,9pt 3rb 2as 4st 1trey 2-6fg 4-4ft,0,0,3100,,3800,,,,10,,2,12,,1,
3669,"Smith, J.R.",J.R. Smith,20171017,cle,bos,H,20171017-bos-cle,20,102,99,0,21.91666667,1,1,16.3,17,16.75,16.3,10pt 4rb 1as 1trey 4-7fg 1-1ft,0,0,3400,,3400,,,,10,,2,23,,2,
5118,"Yabusele, Guerschon",Guerschon Yabusele,20171017,bos,cle,A,20171017-bos-cle,20,99,102,0,0,0,0,0,0,0,0,,0,0,3000,,3000,,,,10,,4,45,,4,
3408,"Hilario, Nene",Nene Hilario,20171017,hou,gsw,A,20171017-hou-gsw,22.5,122,121,0,0,0,1,0,0,0,0,,0,0,3500,,3500,,,,10,,5,5,,5,
4077,"Gordon, Eric",Eric Gordon,20171017,hou,gsw,A,20171017-hou-gsw,22.5,122,121,0,29.38333333,1,1,33.7,31.75,29.5,33.7,24pt 1rb 1as 1st 2bl 2to 9-16fg 6-8ft,0,0,5200,,4600,,,,15,,2,2,,2,
4900,"Holland, John",John Holland,20171017,cle,bos,H,20171017-bos-cle,20,102,99,0,0,0,0,0,0,0,0,,0,0,3000,,3000,,,,10,,3,2,,2,
5125,"Bell, Jordan",Jordan Bell,20171017,gsw,hou,H,20171017-hou-gsw,22.5,121,122,0,11.76666667,1,1,9.7,10.25,10,9.7,8pt 1rb 1as 1to 4-5fg,0,0,3000,,3000,,,,10,,4,45,,4,
4367,"Thompson, Klay",Klay Thompson,20171017,gsw,hou,H,20171017-hou-gsw,22.5,121,122,1,38.16666667,1,1,38.7,37.5,37.5,38.7,16pt 6rb 3as 2st 2bl 1to 4trey 6-14fg,0,0,6800,,6200,,,,24,,2,2,,2,
5010,"Onuaku, Chinanu",Chinanu Onuaku,20171017,hou,gsw,A,20171017-hou-gsw,22.5,122,121,0,0,0,0,0,0,0,0,,0,0,3000,,3000,,,,10,,5,45,,4,
5115,"Ojeleye, Semi",Semi Ojeleye,20171017,bos,cle,A,20171017-bos-cle,20,99,102,0,8.65,1,1,0,0,-0.5,0,0pt 0-2fg,0,0,3000,,3000,,,,10,,3,23,,4,
5116,"Osman, Cedi",Cedi Osman,20171017,cle,bos,H,20171017-bos-cle,20,102,99,0,0,0,1,0,0,0,0,,0,0,3000,,3000,,,,10,,3,23,,3,
4472,"Crowder, Jae",Jae Crowder,20171017,cle,bos,H,20171017-bos-cle,20,102,99,1,34.73333333,1,1,25,24.25,23,25,11pt 5rb 2as 2st 1to 1trey 3-10fg 4-4ft,0,0,4500,,4300,,,,16,,4,34,,3,
3651,"Livingston, Shaun",Shaun Livingston,20171017,gsw,hou,H,20171017-hou-gsw,22.5,121,122,0,18.53333333,1,1,13.7,14.25,13.5,13.7,6pt 1rb 5as 1to 2-5fg 2-2ft,0,0,3000,,3700,,,,10,,1,12,,1,
4691,"Black, Tarik",Tarik Black,20171017,hou,gsw,A,20171017-hou-gsw,22.5,122,121,0,0,0,1,0,0,0,0,,0,0,3000,,3400,,,,10,,4,45,,4,
4420,"Thomas, Isaiah",Isaiah Thomas,20171017,cle,bos,H,20171017-bos-cle,20,102,99,0,0,0,0,0,0,0,0,,0,0,,,6500,,,,42,,,1,,1,
5017,"Brown, Jaylen",Jaylen Brown,20171017,bos,cle,A,20171017-bos-cle,20,99,102,1,39.61666667,1,1,35.2,36,33.75,35.2,25pt 6rb 2st 3to 2trey 11-23fg 1-2ft,0,0,3700,,3700,,,,11,,2,23,,2,
4556,"Baynes, Aron",Aron Baynes,20171017,bos,cle,A,20171017-bos-cle,20,99,102,0,19.11666667,1,1,14.5,14.75,14.25,14.5,6pt 5rb 1as 1bl 2to 2-2fg 2-4ft,0,0,3200,,3300,,,,10,,5,5,,5,
5153,"Mason III, Frank",Frank Mason III,20171018,sac,hou,H,20171018-hou-sac,22,100,105,0,0,0,1,0,0,0,0,,0,0,3000,,3000,,,,10,,1,12,,1,
4379,"Irving, Kyrie",Kyrie Irving,20171018,bos,mil,H,20171018-mil-bos,19.5,100,108,1,38.93333333,1,1,32.3,32,28.25,32.3,17pt 4rb 3as 3st 3to 2trey 7-25fg 1-2ft,0,0,8200,0,8500,200,,,37,-1,1,1,,1,
4564,"Curry, Seth",Seth Curry,20171018,dal,atl,H,20171018-atl-dal,20.5,111,117,0,0,0,0,0,0,0,0,,0,0,4600,,4300,,,,19,,2,12,,2,
4932,"Finney-Smith, Dorian",Dorian Finney-Smith,20171018,dal,atl,H,20171018-atl-dal,20.5,111,117,0,10.88333333,1,1,3.6,4.75,4.25,3.6,2pt 3rb 2to 1-3fg,0,0,3000,,3000,,,,10,,3,3,,3,
4316,"Stephenson, Lance",Lance Stephenson,20171018,ind,bkn,H,20171018-bkn-ind,19,140,131,0,24.18333333,1,1,26.7,26.25,23.25,26.7,16pt 1rb 3as 1st 1bl 1to 2trey 6-19fg 2-5ft,0,0,3300,,4800,,,,15,,2,23,,2,
4963,"Murray, Dejounte",Dejounte Murray,20171018,sas,min,H,20171018-min-sas,21.5,107,99,1,25.4,1,1,32,30.25,30,32,16pt 5rb 2as 2st 1bl 2to 7-8fg 2-2ft,0,0,3800,,4100,,,,10,,1,1,,1,
2448,"Carter, Vince",Vince Carter,20171018,sac,hou,H,20171018-hou-sac,22,100,105,0,14.18333333,1,1,9.2,10.75,11.5,9.2,6pt 1rb 2as 1to 2trey 2-3fg,0,0,3500,,3000,,,,10,,3,2,,2,
